commonName,lat,lon,NbDocks,geometry,Cluster
"Bedford Way, Bloomsbury",51.523673,-0.128377,23,POINT (699205.159711735 5711971.453795089),2
"Elizabeth Bridge, Victoria",51.492369,-0.147478,34,POINT (698016.102754892 5708439.146307175),3
"South Audley Street, Mayfair",51.50923,-0.151289,15,POINT (697678.5948936294 5710303.487586675),0
"St Mary's Hospital, Paddington",51.518268,-0.171103,20,POINT (696265.0407447156 5711255.00555524),0
"Montpelier Street, Knightsbridge",51.498884,-0.165471,16,POINT (696739.2296592321 5709114.963151789),0
"Swan Street, The Borough",51.500296,-0.092762,27,POINT (701778.6216513645 5709469.971805068),1
"Geraldine Street, Elephant & Castle",51.496127,-0.106,17,POINT (700878.3439261065 5708970.029642194),1
"Curlew Street, Shad Thames",51.502279,-0.074189,21,POINT (703058.6221852902 5709741.830804684),4
"Vincent Square, Westminster",51.493985,-0.136928,19,POINT (698741.2935086746 5708647.419490149),3
"Marylebone Lane, Marylebone",51.514759,-0.148105,24,POINT (697875.5287661741 5710926.824546779),0
"Albert Gate, Hyde Park",51.502953,-0.158456,34,POINT (697208.4640703334 5709586.251576245),0
"Rathbone Street, Fitzrovia",51.518162,-0.135025,16,POINT (698768.0780099899 5711340.641871662),3
"Long Lane , Bermondsey",51.499075,-0.085666,20,POINT (702276.4370427174 5709353.81423196),4
"Embankment (Savoy), Strand",51.509631,-0.119047,41,POINT (699913.7631274319 5710435.689069264),2
"Black Prince Road, Vauxhall",51.490867,-0.116911,19,POINT (700144.1810747804 5708355.314895638),1
"Foley Street, Fitzrovia",51.519181,-0.140485,24,POINT (698384.9116155463 5711439.11377541),3
"Wells Street, Fitzrovia",51.517344,-0.138072,38,POINT (698560.2800223067 5711241.419025182),3
"Tyers Gate, Bermondsey",51.500889,-0.083159,36,POINT (702442.3654329994 5709562.430660647),4
"The Tennis Courts, The Regent's Park",51.525367,-0.153463,16,POINT (697457.9308329399 5712091.771370863),0
"Warwick Row, Westminster",51.497998,-0.14296,21,POINT (698305.2325389134 5709077.227141427),3
"Dickens Square, Borough",51.496791,-0.093913,32,POINT (701714.2327554243 5709077.107989187),1
